#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;,,,,,,,,,,
### RELIGIOUS EVENTS ###
# FIRST RAVEN EVENTS #
EVTTITLE_ROBMODNORSE_00041;The Godslaws;Les lois des Dieux;Die Gesetze der Götter;;Las leyes de los dioses;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODNORSE_00001_03;Alas! A new and powerful enemy has emerged to further cement the power of the so-called Odinnshrafn [Root.GetFirstName]. That power-hungry Gods-botherer has sponsored an order of warrior monks – the Eiðmenn (Oathsmen) and the Friggjarsniptar (Sisters of Frigg) – an order of sorceresses. The Oathsmen have already begun unprovoked attacks upon those who hold the old beliefs, and vow to continue to root us out until all bow before [Root.GetFirstName]!;Hélas! Un ennemi nouveau et puissant a émergé pour continuer à cimenter le pouvoir du soi-disant Odinnshrafn [Root.GetFirstName]. Ce dieu-ennemi qui a faim de pouvoir a parrainé un ordre de moines guerriers - les Eiðmenn (les hommes assermenté) et les Friggjarsniptar (Sœurs de Frigg) - un ordre de sorcières. Les hommes assermenté ont déjà commencé des attaques non provoquées contre ceux qui tiennent les anciennes croyances, et se sont engagés à continuer à nous arracher jusqu'à l'avant avant [Root.GetFirstName]!;Ach! Ein neuer und mächtiger Feind ist entstanden, um die Macht des sogenannten Odinnshrafn [Root.GetFirstName] weiter zu zementieren. Dieser kräftig-hungrige Götter-Mörder hat eine Ordnung von Krieger-Mönchen gesponsert - die Eiðmenn (Eidmänner) und die Friggjarsniptar (Schwestern von Frigg) - eine Reihe von Zauberern. Der Eidmänner haben bereits unprovozierte Angriffe auf diejenigen, die den alten Glauben halten, begonnen und gelobt, uns weiter zu verwurzeln, bis alle Bogen vor [Root.GetFirstName]!;;¡Ay! Un nuevo y poderoso enemigo ha surgido para consolidar aún más el poder de los llamados Odinnshrafn [Root.GetFirstName]. Ese dios-hambriento de poder-patrocinador ha patrocinado un orden de monjes guerreros - los Eiðmenn (Juramentadores) y el Friggjarsniptar (Hermanas de Frigg) - un orden de brujas. Los Juramentadores ya han comenzado ataques no provocados sobre aquellos que sostienen las viejas creencias, y juran continuar arraigándonos hasta que todos se inclinen ante [Root.GetFirstName]!;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00001_01;At-Valhöll!;At-Valhöll!;At-Valhöll!;;At-Valhöll!;;;;;;;;;x,,,,,,,,,,
EVTOPTA_ROBMODNORSE_00001_02;The Vikings were dangerous enough already...;Les Vikings étaient assez dangereux déjà...;Die Wikinger waren schon gefährlich genug...;;Los vikingos ya eran bastante peligrosos...;;;;;;;;;x,,,,,,,,,,
EVTOPTA_ROBMODNORSE_00001_03;[This.Religion.GetRandomEvilGodNameCap] curse this ‘Oðinshrafn’!;[This.Religion.GetRandomEvilGodNameCap] maudit ce 'Oðinshrafn'!;[This.Religion.GetRandomEvilGodNameCap] Fluch dieses 'Oðinshrafn'!;;[This.Religion.GetRandomEvilGodNameCap] maldición este 'Oðinshrafn'!;;;;;;;;;x,,,,,,,,,,
EVTOPTB_ROBMODNORSE_00001;I must make a donation to this worthy cause!;Je dois faire un don à cette cause digne!;Ich muss eine Spende an diese würdige Sache machen!;;¡Tengo que hacer una donación a esta digna causa!;;;;;;;;;x,,,,,,,,,
EVTDESC_ROBMODNORSE_00002;I rejoice to hear of the establishment the Eiðmenn and the Friggjarsniptar. Please accept this donation to your cause, and I look forward to sending many brave warriors to fight for Óðinn. At-Valhöll!;Je me réjouis d'avoir entendu parler de la création de l'Eiðmenn et de la Friggjarsniptar. Veuillez accepter ce don à votre cause, et j'attends avec impatience d'envoyer de nombreux guerriers courageux pour se battre pour Óðinn. At-Valhöll!;Ich freue mich, von der Einrichtung der Eiðmenn und der Friggjarsniptar zu hören. Bitte nehmen Sie diese Spende an Ihre Sache, und ich freue mich darauf, viele mutige Krieger zu schicken, um für Óðinn zu kämpfen. At-Valhöll!;;Me alegro de oír hablar del establecimiento Eiðmenn y Friggjarsniptar. Por favor acepte esta donación a su causa, y espero enviar a muchos valientes guerreros para luchar por Óðinn. ¡At-Valhöll!;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00002;Thank you, [From.GetTitledFirstName]!;Merci, [From.GetTitledFirstName]!;Vielen Dank, [From.GetTitledFirstName]!;;Gracias, [From.GetTitledFirstName]!;;;;;;;;;x,,,,,,,,,,
# CHOOSE YOUR PANTHEON #
EVTTITLE_ROBMODNORSE_00011;The Æsir and the Vanir;L'Æsir et le Vanir;Der Æsir und der Vanir;;El Æsir y el Vanir;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODNORSE_00011;The Norse faith has two main pantheons of Gods - the Æsir and the Vanir. The Æsir includes Odin the Allfather, his wife Frigg, Thor (the God of battle and thunder), Baldr the white, and Týr - the God of personal combat. The Vanir are associated with wisdom, fertility, nature, and magic, and include Njörðr (God of seafaring and crops), the God of prosperity Freyr, Eir - Goddess of mercy and health, and Freyja, Goddess of beauty, fertility, and sorcery. Long ago the Æsir and the Vanir fought and the latter were subjugated, but both are still revered today for different reasons. The time has come for you to choose which of these two pantheons you will follow, and your decision will tell the world much about the kind of ruler you want to be.;La foi nordique a deux panthéons principaux de dieux. L'Æsir comprend Odin the Allfather, son épouse Frigg, Thor (le Dieu de la bataille et le tonnerre), Baldr le blanc, et Týr - le dieu du combat personnel. Les Vanir sont associés à la sagesse, à la fertilité, à la nature et à la magie, et comprennent Njörðr (Dieu de la mer et des cultures), le Dieu de la prospérité Freyr, Eir - Déesse de la miséricorde et de la santé, et Freyja, Déesse de la beauté, de la fertilité et de la sorcellerie . Le moment est venu pour vous de choisir lequel de ces deux panthéons que vous suivrez, et votre décision en informera le monde au sujet du type de règle que vous voulez être.;Der nordische Glaube hat zwei Hauptpantheonen der Götter. Der Æsir schließt Odin den Allfather, seine Frau Frigg, Thor (den Gott des Kampfes und des Donners), Baldr das Weiß und Týr - den Gott des persönlichen Kampfes ein. Die Vanir sind mit Weisheit, Fruchtbarkeit, Natur und Magie verbunden und schließen Njörðr (Gott der Seefahrt und Kulturen), den Gott des Wohlstands Freyr, Eir - Göttin der Barmherzigkeit und Gesundheit und Freyja, Göttin der Schönheit, Fruchtbarkeit und Zauberei . Die Zeit ist gekommen, um zu entscheiden, welche dieser beiden Pantheons du folgen wirst, und deine Entscheidung wird der Welt viel über die Art von Herrscher erzählen, die du sein möchtest.;;La fe nórdica tiene dos panteones principales de dioses. El Æsir incluye Odin el Allfather, su esposa Frigg, Thor (el Dios de la batalla y el trueno), Baldr el blanco, y Týr - el Dios del combate personal. Los Vanir están asociados con la sabiduría, la fertilidad, la naturaleza y la magia, e incluyen Njörðr (Dios de la navegación y las cosechas), el Dios de la prosperidad Freyr, Eir - Diosa de la misericordia y la salud, y Freyja, Diosa de la belleza, la fertilidad y la brujería . Ha llegado el momento de elegir cuál de estos dos panteones seguirá, y su decisión le dirá al mundo mucho sobre el tipo de gobernante que desea ser.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00011;I will follow the Æsir, the mightiest of the Gods.;Je vais consacrer mon sanctuaire à l'Æsir.;Ich werde meinen Schrein dem Æsir widmen.;;Dedicaré mi santuario al Æsir.;;;;;;;;;x
EVTTOOLTIP_ROBMODNORSE_00011_01;This will show your people that you strive for power and glory, and you will receive bonuses to your armies;Cela montrera à votre peuple que vous cherchez le pouvoir et la gloire;Dies wird deinen Leuten zeigen, dass du nach Macht und Ruhm strebst;;Esto mostrará a su gente que usted lucha por el poder y la gloria;;;;;;;;;x,,,,,,,,,,
EVTOPTB_ROBMODNORSE_00011;The Vanir will bring me wisdom and foresight.;Le Vanir m'a apporté la sagesse pour m'aider à mener mon domaine et ma famille.;Der Vanir wird mir Weisheit bringen, mir zu helfen, mein Reich und meine Familie zu führen.;;El Vanir me traerá sabiduría para ayudarme a guiar mi reino y mi familia.;;;;;;;;;x
EVTTOOLTIP_ROBMODNORSE_00011_02;This will bring benefits to your stewardship, fertility, learning and health;Cela entraînera des avantages pour votre gérance, votre fertilité, votre apprentissage et votre santé;Dies bringt Vorteile für Ihre Stewardship, Fruchtbarkeit, Lernen und Gesundheit;;Esto traerá beneficios a su mayordomía, fertilidad, aprendizaje y salud;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODNORSE_00012_01;Yes, the Æsir are the Gods for me - power, glory, and wisdom. I shall build a stone shrine depicting Oðinn the Allfather sat on a branch of the tree Yggdrasil, with his sons Þor and Baldr below him, and Týr taming the wolf Fenrir. But how much should all this cost?;Oui, les Æsir sont les dieux pour moi: le pouvoir, la gloire et la sagesse. Je construirai un sanctuaire en pierre représentant Oðinn Allfather assis sur une branche de l'arbre Yggdrasil, avec ses fils Þor et Baldr au-dessous de lui, et Týr dompant le loup Fenrir. Mais combien cela coûterait-il?;Ja, das sind die Götter für mich - Macht, Herrlichkeit und Weisheit. Ich werde einen steinernen Schrein bauen, der Oðinn zeigt, der Allfather saß auf einem Zweig des Baumes Yggdrasil, mit seinen Söhnen und Baldr unter ihm und Týr, der den Wolf Fenrir zähmte. Aber wie viel sollte das alles kosten?;;Sí, los Æsir son los dioses para mí: poder, gloria y sabiduría. Construiré un santuario de piedra representando a Oðinn el Allfather sentado en una rama del árbol Yggdrasil, con sus hijos Þor y Baldr debajo de él, y Týr domando al lobo Fenrir. Pero, ¿cuánto debería costar todo esto?;;;;;;;;;x
EVTDESC_ROBMODNORSE_00012_02;The Vanir will be my guides in matters of the land and heart. I shall build them a shrine cut from the trunk of one giant tree, with images of Njörðr fishing, Freyr smithing gold, Eir tending a wounded warrior, and Freyja - oh Freyja - you shall be the most beautiful of all. But how much should all this cost?;Le Vanir sera mes guides en matière de terre et de cœur. Je vais les construire un sanctuaire coupé du tronc d'un arbre géant, avec des images de la pêche de Njörðr, de l'orgue de Freyr, d'Eir tendant un guerrier blessé, et Freyja - oh Freyja - vous serez le plus beau de tous. Mais combien cela coûterait-il?;Der Vanir wird meine Führer in Angelegenheiten des Landes und des Herzens sein. Ich baue ihnen einen Schrein, der aus dem Stamm eines Riesenbaumes geschnitten wurde, mit Bildern von Njörðr-Fischen, Freyr-Schmieden Gold, Eir, der einen verwundeten Krieger treibt, und Freyja - oh Freyja - du sollst der Schönste von allen sein. Aber wie viel sollte das alles kosten?;;Los Vanir serán mis guías en asuntos de la tierra y del corazón. Los construiré un santuario cortado del tronco de un árbol gigante, con imágenes de Njörðr pescando, Freyr forjando oro, Eir tendiendo un guerrero herido, y Freyja - oh Freyja - serás el más hermoso de todos. Pero, ¿cuánto debería costar todo esto?;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00012;Spare no expense for the glory of the Gods!;Ne dépensez pas la gloire des dieux!;Ersatz kein Aufwand für die Herrlichkeit der Götter!;;¡No pagues ningún gasto por la gloria de los dioses!;;;;;;;;;x
EVTTOOLTIP_ROBMODNORSE_00012_01;Spend lavishly on your shrine, making you the envy of Lords across the Norse world;Passez richement sur votre sanctuaire, ce qui vous rend l'envie de Lords dans le monde nordique;Verbringen Sie großzügig auf Ihren Schrein und machen Sie den Neid der Herren über die nordische Welt;;Pasa generosamente en tu santuario, haciéndote la envidia de los Señores a través del mundo nórdico;;;;;;;;;x,,,,,,,,,,
EVTOPTB_ROBMODNORSE_00012;Spend enough not to impress, but within our means.;Dépenser assez pour ne pas impressionner, mais selon nos moyens.;Verbringen Sie genug, um nicht zu beeindrucken, aber innerhalb unserer Mittel.;;Gastar lo suficiente para no impresionar, pero dentro de nuestros medios.;;;;;;;;;x
EVTTOOLTIP_ROBMODNORSE_00012_02;Build a reasonable shrine - well made but modest;Construire un sanctuaire raisonnable - bien fait mais modeste;Bauen Sie einen vernünftigen Schrein - gut gemacht, aber bescheiden;;Construir un santuario razonable - bien hecho pero modesto;;;;;;;;;x,,,,,,,,,,
EVTOPTC_ROBMODNORSE_00012;I'm sure we can do this on the cheap.;Je suis sûr que nous pouvons le faire à bon marché.;Ich bin sicher, dass wir das auf dem billigen machen können.;;Estoy seguro de que podemos hacer esto en el barato.;;;;;;;;;x
EVTTOOLTIP_ROBMODNORSE_00012_03;Cut corners with the costs. Who's going to notice a few rough edges on your shrine?;Couper les coins avec les coûts. Qui va voir quelques bords grossiers sur votre sanctuaire?;Ecken mit den Kosten schneiden Wer wird ein paar grobe Kanten auf deinem Schrein bemerken?;;Cortar esquinas con los costos. ¿Quién va a notar algunos bordes ásperos en su santuario?;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODNORSE_00013_01;Your shrine is now finished, and it is a beautiful thing to behold. Gilded with gold and reflecting the sun, you are truly proud of it. Although this is a personal place of worship, as leader you are expected to open it to your vassals, and today many of them are here today to make their offerings. You receive many compliments (and are no doubt the subject of much envy), and by the end of the day you are grinning from ear to ear.;Votre sanctuaire est maintenant terminé, et c'est une belle chose à voir. Doré d'or et reflétant le soleil, vous en êtes vraiment fier. Bien qu'il s'agisse d'un lieu de culte personnel, en tant que leader, vous devez l'ouvrir à vos vassaux, et aujourd'hui, beaucoup d'entre eux sont présents aujourd'hui pour faire leurs offres. Vous recevez de nombreux compliments (et ne font aucun doute le sujet de beaucoup d'envie), et à la fin de la journée, vous souriez d'oreille.;Dein Schrein ist jetzt fertig, und es ist eine schöne Sache zu sehen. Vergoldet mit Gold und reflektiert die Sonne, sind Sie wirklich stolz darauf. Obwohl dies ein persönlicher Ort der Anbetung ist, als Führer werden Sie erwartet, um es zu Ihren Vasallen zu öffnen, und heute sind viele von ihnen heute hier, um ihre Angebote zu machen. Sie erhalten viele Komplimente (und sind zweifellos das Thema viel Neid), und bis zum Ende des Tages grinsten Sie von Ohr zu Ohr.;;Tu santuario ya está terminado, y es una cosa hermosa de contemplar. Dorado con el oro y reflejando el sol, usted es verdad orgulloso de él. Aunque este es un lugar de culto personal, como líder se espera que lo abra a sus vasallos, y hoy muchos de ellos están aquí hoy para hacer sus ofrendas. Recibes muchos cumplidos (y sin duda son objeto de mucha envidia), y al final del día estás sonriendo de oreja a oreja.;;;;;;;;;x
EVTDESC_ROBMODNORSE_00013_02;Your shrine is now finished, and all things considered it is a fine thing. The materials are solid and there is some fine detail in the depictions of the Gods. Although this is a personal place of worship, as leader you are expected to open it to your vassals, and today many of them are here today to make their offerings. The general consensus is this is a shrine that will serve you well in your appeasements.;Votre sanctuaire est maintenant terminé, et tout est considéré comme une bonne chose. Les matériaux sont solides et il y a de beaux détails dans les représentations des dieux. Bien qu'il s'agisse d'un lieu de culte personnel, en tant que leader, vous devez l'ouvrir à vos vassaux, et aujourd'hui, beaucoup d'entre eux sont présents aujourd'hui pour faire leurs offres. Le consensus général est que c'est un sanctuaire qui vous servira bien dans vos apaisements.;Dein Schrein ist jetzt fertig, und alles in allem ist es eine gute Sache. Die Materialien sind solide und es gibt einige feine Details in den Darstellungen der Götter. Obwohl dies ein persönlicher Ort der Anbetung ist, als Führer werden Sie erwartet, um es zu Ihren Vasallen zu öffnen, und heute sind viele von ihnen heute hier, um ihre Angebote zu machen. Der allgemeine Konsens ist das ist ein Schrein, der dir gut in deinen Beschwichtigungen dienen wird.;;Su santuario está ahora terminado, y todas las cosas consideran que es una buena cosa. Los materiales son sólidos y hay algunos detalles finos en las representaciones de los dioses. Aunque este es un lugar de culto personal, como líder se espera que lo abra a sus vasallos, y hoy muchos de ellos están aquí hoy para hacer sus ofrendas. El consenso general es que este es un santuario que le servirá bien en sus apaciguamientos.;;;;;;;;;x
